Ticker,IndexMarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEGPriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,,,
[['AAN'], '-', '895.15M', '-', '1.82B', '21.69', '1.44', '0.40', '1.49%', '9400', '2.70', '8.83', '9.06', '-', '0.49', '1.24', '18.65', '-', '-', '-', '0.00', '0.00', '-0.03%', '-3.53%', '2.83%', '-', '-', '-36.30%', '-', '-', '-', '-', '33.81M', '31.97M', '1.87%', '1.88', '36.43', '-28.17%', '66.23%', '317.96K', '985,644', '4.14%', '-', '42.04%'],
[['AAOI'], '-', '210.37M', '-46.90M', '232.80M', '10.33', '1.56', '-', '-', '2682', '2.70', '-', '-', '-', '0.90', '0.72', '4.78', '-', '1.20', '2.30', '0.53', '0.35', '2.24%', '1.33%', '-12.80%', '-9.70%', '-17.10%', '-13.20%', '22.30%', '-20.50%', '-20.10%', '-', '26.85M', '25.78M', '17.46%', '8.47', '-', '-46.52%', '16.74%', '531.59K', '515,776', '-12.03%', '-28.48%', '-12.34%'],
[['AAON'], '-', '3.44B', '76.30M', '511.10M', '7.32', '2.14', '0.38', '0.58%', '2268', '3.00', '46.22', '41.25', '3.85', '6.73', '9.02', '30.86', '66.49', '2.20', '3.30', '0.02', '0.02', '-1.52%', '1.49%', '-2.68%', '16.30%', '21.00%', '22.10%', '29.40%', '18.70%', '14.90%', '26.00%', '52.43M', '41.51M', '3.67%', '10.23', '62.00', '-18.77%', '20.34%', '148.86K', '473,708', '-8.76%', '14.17%', '-0.95%'],
[['AAT'], '-', '2.36B', '18.10M', '341.50M', '20.86', '5.92', '1.12', '2.95%', '199', '2.60', '125.86', '40.65', '41.95', '6.92', '1.82', '6.42', '-', '-', '-', '1.32', '1.32', '-2.66%', '0.14%', '11.51%', '0.60%', '1.40%', '3.30%', '64.30%', '23.10%', '5.30%', '350.30%', '59.99M', '59.66M', '2.11%', '4.67', '39.80', '-6.43%', '83.36%', '269.20K', '670,750', '12.62%', '46.08%', '31.61%'],
[['AAWW'], '-', '2.17B', '455.10M', '3.59B', '86.07', '-', '-', '-', '4061', '2.00', '4.75', '6.39', '0.47', '0.60', '0.88', '-', '3.12', '0.90', '0.90', '0.96', '0.71', '1.79%', '6.47%', '17.61%', '7.60%', '19.90%', '7.80%', '56.90%', '16.10%', '12.70%', '0.00%', '29.01M', '27.12M', '13.63%', '9.57', '93.71', '-4.76%', '50.60%', '386.11K', '924,603', '27.73%', '23.76%', '38.67%'],
[['ABCB'], '-', '3.35B', '423.70M', '710.40M', '40.82', '47.55', '0.60', '1.25%', '2671', '1.90', '7.87', '11.25', '0.98', '4.72', '1.17', '1.01', '5.04', '-', '-', '0.18', '0.18', '-0.41%', '-1.08%', '-1.58%', '2.00%', '15.70%', '13.80%', '-', '91.50%', '59.60%', '9.80%', '69.50M', '65.94M', '2.60%', '4.36', '56.50', '-20.08%', '129.35%', '393.57K', '1,905,858', '-14.56%', '102.41%', '25.64%']
[['ABG'], '-', '3.59B', '430.20M', '8.86B', '59.50', '5.18', '-', '-', '7600', '2.30', '8.18', '8.80', '0.44', '0.41', '3.06', '35.11', '5.28', '0.80', '1.50', '1.41', '1.16', '0.25%', '-3.64%', '2.16%', '12.00%', '44.50%', '11.20%', '17.90%', '7.20%', '4.90%', '0.00%', '19.30M', '19.16M', '7.46%', '8.00', '230.86', '-16.11%', '98.79%', '178.71K', '396,473', '-3.51%', '79.97%', '24.83%'],
[['ABM'], '-', '3.01B', '145.10M', '6.02B', '23.77', '6.53', '0.76', '1.69%', '114000', '2.00', '21.12', '13.14', '1.32', '0.50', '1.90', '6.90', '6.62', '1.40', '1.40', '0.40', '0.33', '-5.76%', '-3.65%', '-2.17%', '1.20%', '3.10%', '1.90%', '16.30%', '2.70%', '0.80%', '106.30%', '67.30M', '66.22M', '2.16%', '2.93', '62.00', '-18.75%', '34.53%', '488.56K', '1,190,951', '-10.54%', '17.30%', '19.13%']
[['ABTX'], '-', '740.62M', '73.00M', '249.50M', '39.06', '35.57', '0.48', '1.31%', '608', '3.00', '10.24', '12.35', '-', '2.97', '0.94', '1.03', '11.10', '-', '-', '0.31', '0.31', '0.45%', '0.30%', '-3.52%', '1.20%', '9.50%', '18.80%', '-', '87.80%', '29.30%', '12.20%', '20.20M', '18.87M', '1.29%', '4.53', '41.75', '-15.53%', '70.72%', '53.81K', '233,984', '-14.40%', '49.55%', '7.27%'],
[['ACA'], '-', '2.42B', '78.10M', '1.90B', '39.93', '2.08', '0.20', '0.40%', '6410', '1.70', '31.27', '20.63', '7.63', '1.27', '1.26', '24.14', '23.99', '1.30', '2.20', '0.34', '0.34', '-0.09%', '-2.94%', '-13.75%', '2.80%', '4.10%', '5.60%', '18.90%', '5.90%', '4.10%', '12.30%', '48.10M', '47.95M', '3.41%', '6.60', '66.00', '-26.60%', '20.42%', '247.82K', '920,877', '-17.68%', '9.81%', '-8.52%'],
[['ACLS'], '-', '1.65B', '60.80M', '512.70M', '14.67', '6.52', '-', '-', '1004', '1.80', '27.62', '16.15', '1.38', '3.21', '3.33', '7.49', '31.60', '3.00', '4.80', '0.10', '0.09', '1.15%', '13.97%', '25.03%', '9.70%', '12.60%', '9.80%', '43.20%', '14.10%', '11.90%', '0.00%', '33.68M', '32.93M', '3.26%', '4.75', '57.17', '-7.42%', '130.89%', '226.44K', '542,509', '27.06%', '119.19%', '67.86%'],
[['ADC'], '-', '5.01B', '97.00M', '295.60M', '48.10', '2.51', '2.60', '3.66%', '49', '1.60', '43.63', '36.42', '-', '16.94', '1.48', '28.30', '-', '-', '-', '0.49', '0.49', '-3.11%', '-3.77%', '2.78%', '2.40%', '3.60%', '3.30%', '88.10%', '45.60%', '32.80%', '151.90%', '64.84M', '62.64M', '12.60%', '17.31', '81.58', '-6.53%', '15.86%', '455.82K', '809,036', '6.51%', '6.69%', '6.62%'],
[['ADTN'], '-', '950.59M', '17.60M', '534.00M', '7.75', '1.46', '0.36', '1.89%', '1405', '1.90', '53.21', '23.64', '23.14', '1.78', '2.46', '13.08', '-', '1.90', '3.00', '0.00', '0.00', '-10.47%', '-11.43%', '2.36%', '3.30%', '4.70%', '-0.30%', '42.90%', '0.70%', '3.30%', '98.70%', '48.45M', '48.05M', '2.66%', '3.52', '25.00', '-23.06%', '97.20%', '362.70K', '945,264', '6.66%', '84.06%', '28.98%'],
