IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA(%),ROE(%),ROI(%),GrossMargin(%),OperationalMargin,ProfitMargin(%),Payout(%),SHSOutstanding,ShsFloat,ShortFloat(%),ShortRatio,TargetPrice,PerformanceHalfYear(%),PerformanceYear(%),PerformanceYTD(%)
UPST,1981000000.0,5810000.0,45070000.0,9.34,0.0,0.0,554.0,403.53,153.63,43.95,28.13,39.13,0.0,0.0,0.01,10.7,18.0,3.1,85.9,16.0,12.9,0.0,7667000.0,6558000.0,4.08,0.51,206.5,393.43,0.0,544.66
ANVS,29465000.0,-840000.0,0.0,6.6,0.0,0.0,2.0,0.0,0.0,0.0,5.35,5.99,56.0,56.0,0.0,-46.2,-48.4,0.0,0.0,0.0,0.0,0.0,737000.0,564000.0,12.61,0.83,0.0,31.19,620.24,368.57
ASAN,1469000000.0,-26380000.0,29340000.0,-0.29,0.0,0.0,1080.0,0.0,0.0,50.08,0.0,38.04,2.4,2.4,0.0,-30.0,414.1,-47.9,88.7,-59.8,-72.2,0.0,16208000.0,7151000.0,7.26,2.12,66.64,187.94,0.0,219.9
THRY,98823000.0,17050000.0,106000000.0,8.02,0.0,0.0,2313.0,5.99,12.19,0.93,3.74,62.55,1.2,1.2,2.4,12.7,93.1,33.3,63.6,14.9,16.1,0.0,3293000.0,3180000.0,2.74,4.59,44.5,55.09,91.63,122.3
ASO,416000000.0,49660000.0,613000000.0,14.27,0.0,0.0,22000.0,8.27,10.28,0.68,3.16,7.01,0.5,1.4,0.6,10.5,43.5,20.7,32.6,10.6,8.1,0.0,9218000.0,9088000.0,13.72,5.8,45.38,79.91,0.0,117.75
MRVI,1579000000.0,0.0,38133000.0,1.73,0.0,0.0,490.0,0.0,45.49,41.42,34.55,42.15,3.6,3.9,3.04,0.0,0.0,16.1,0.0,0.0,0.0,0.0,11220000.0,8907000.0,2.05,1.61,58.78,65.71,0.0,113.08
VEL,28483000.0,2110000.0,17860000.0,11.62,0.0,0.0,175.0,13.64,12.26,1.59,1.13,10.28,0.0,0.0,8.03,1.0,9.5,6.2,95.6,77.0,11.8,0.0,2009000.0,1288000.0,1.26,3.81,15.25,69.79,167.82,111.08
ACI,1550000000.0,70880000.0,6821000000.0,3.65,0.4,1.19,300000.0,27.44,15.22,0.23,9.18,7.13,0.5,1.1,4.92,2.7,48.1,13.0,29.1,1.8,1.0,6.6,46510000.0,23781000.0,5.69,10.59,26.17,95.11,147.96,90.56
MCFE,1169000000.0,-13400000.0,241000000.0,-56.92,0.46,1.7,6916.0,0.0,24.58,4.84,0.0,27.84,0.4,0.4,0.0,-1.5,1.3,-4.6,71.1,8.9,-3.4,0.0,16500000.0,5342000.0,5.05,2.6,29.43,32.19,0.0,89.61
IMNM,21046000.0,-2160000.0,0.0,5.29,0.0,0.0,23.0,0.0,0.0,0.0,3.28,3.52,17.8,17.8,0.0,-52.9,-95.1,0.0,0.0,0.0,0.0,0.0,1146000.0,859000.0,2.25,0.45,0.0,-43.21,0.0,79.24
BSY,1920000000.0,15950000.0,86750000.0,1.55,0.12,0.17,4104.0,135.81,87.0,22.13,44.51,146.3,0.7,0.7,2.69,10.1,54.3,19.0,77.4,17.0,18.4,11.2,30407000.0,20475000.0,3.4,4.44,69.57,59.07,0.0,70.3
LSPD,2104000000.0,-19270000.0,37830000.0,19.87,0.0,0.0,1800.0,0.0,0.0,55.61,5.99,27.76,4.9,4.9,0.03,-9.1,-10.2,-6.2,53.6,-52.9,-50.9,0.0,13159000.0,12808000.0,2.06,3.0,0.0,99.95,265.29,68.99
MEG,137000000.0,-10210000.0,46350000.0,5.34,0.0,0.0,2000.0,0.0,622.26,2.95,9.79,34.03,1.6,1.6,1.76,-16.3,-75.2,-8.1,32.5,-4.6,-22.0,0.0,2606000.0,2317000.0,3.64,6.35,58.83,27.46,80.62,68.83
RICE,49928000.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,22.41,0.0,5.84,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966000.0,2373000.0,6.09,13.06,26.0,70.61,0.0,59.74
IMAB,532000000.0,7290000.0,23900000.0,13.68,0.0,0.0,228.0,305.45,0.0,22.25,5.45,7.17,9.3,9.3,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,6370000.0,3044000.0,6.32,3.28,91.21,45.37,101.05,58.07
RNLX,94829000.0,0.0,102000.0,2.41,0.0,0.0,17.0,0.0,0.0,930.61,10.17,12.73,21.2,21.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602000.0,591000.0,6.55,4.26,38.0,-15.48,71.46,53.19
AUVI,6301000.0,-620000.0,700000.0,1.52,0.0,0.0,37.0,0.0,0.0,9.0,4.41,9.0,2.5,2.6,0.03,-41.7,-54.8,-33.1,26.8,-84.0,-89.0,0.0,941000.0,417000.0,0.98,0.11,0.0,-22.34,17.72,46.19
LEGN,609000000.0,-29690000.0,8640000.0,2.45,0.0,0.0,882.0,0.0,0.0,70.47,16.38,8.79,2.8,2.8,0.06,-40.7,-102.2,-107.5,0.0,0.0,0.0,0.0,13851000.0,12735000.0,1.15,3.75,52.75,63.13,35.71,42.51
CCCC,226000000.0,-8200000.0,3390000.0,9.5,0.0,0.0,99.0,0.0,0.0,66.62,4.97,4.85,10.8,10.8,0.02,-21.4,-40.8,-20.6,0.0,0.0,0.0,0.0,4385000.0,4223000.0,6.49,6.04,57.83,12.06,0.0,42.5
BNL,440000000.0,6810000.0,33050000.0,17.48,1.02,3.7,71.0,56.65,41.61,13.3,1.58,55.65,0.0,0.0,0.58,1.6,2.9,3.1,85.8,40.5,20.6,182.6,14612000.0,14435000.0,4.53,3.03,26.29,54.83,0.0,40.91
ONEW,61066000.0,6470000.0,122000000.0,16.65,0.0,0.0,1169.0,6.65,5.69,0.5,2.35,5.39,0.8,1.3,1.22,11.4,43.1,19.5,27.3,10.6,5.3,0.0,1098000.0,909000.0,4.36,4.45,57.0,1.56,50.84,40.21
BEAM,763000000.0,-40770000.0,2000.0,8.82,0.0,0.0,181.0,0.0,0.0,317803.5,12.86,12.4,5.3,5.3,0.01,-70.4,-115.1,0.0,0.0,0.0,0.0,0.0,6221000.0,4403000.0,11.72,6.54,119.17,34.97,419.47,38.9
ZI,2584000000.0,4290000.0,59040000.0,3.23,0.0,0.0,1747.0,262.44,98.61,43.76,20.64,64.64,1.4,1.4,0.0,1.8,8.4,1.4,81.3,18.8,7.3,0.0,19060000.0,15996000.0,4.7,2.28,71.13,41.2,104.42,38.21
DASH,6602000000.0,-56700000.0,416000000.0,13.8,0.0,0.0,3886.0,0.0,0.0,15.86,14.28,14.14,4.1,4.1,0.0,-10.6,-17.9,-8.7,52.7,-12.9,-13.6,0.0,33471000.0,30604000.0,3.96,4.07,194.55,39.33,0.0,38.09
PPD,1643000000.0,25830000.0,555000000.0,-1.55,0.0,0.0,26000.0,64.69,26.7,2.96,0.0,17.31,1.2,1.2,0.0,4.0,-35.9,11.3,37.1,10.8,4.7,0.0,35113000.0,21643000.0,7.1,11.3,47.25,34.44,44.93,36.67
DCBO,346000000.0,-2230000.0,10320000.0,7.41,0.0,0.0,488.0,0.0,3279.26,33.55,11.95,12.75,4.4,4.4,0.02,-8.3,-11.1,-3.7,81.9,-20.3,-21.6,0.0,3281000.0,1342000.0,1.13,2.43,0.0,113.76,0.0,36.03
NTST,104000000.0,30000.0,4680000.0,17.98,0.8,3.04,19.0,1095.0,86.16,22.15,1.46,11.76,0.0,0.0,0.0,0.0,0.1,-0.9,91.2,-11.3,0.6,0.0,3802000.0,3304000.0,3.38,2.92,27.61,48.73,43.06,34.84
ZNTL,312000000.0,-15160000.0,0.0,6.65,0.0,0.0,124.0,0.0,0.0,0.0,10.33,10.47,9.3,9.3,0.0,-35.1,-41.7,0.0,0.0,0.0,0.0,0.0,4036000.0,2660000.0,8.74,8.26,72.14,60.2,154.2,32.29
AVO,139000000.0,2960000.0,83800000.0,6.76,0.0,0.0,2500.0,48.12,19.54,1.66,2.91,15.31,2.2,2.7,0.37,3.9,6.8,4.9,15.3,5.6,3.4,0.0,7055000.0,3715000.0,2.83,4.67,24.0,-6.91,0.0,30.76
NREF,15955000.0,2610000.0,11470000.0,28.95,1.9,8.91,1.0,5.08,8.86,1.39,0.74,5.32,0.0,0.0,52.23,0.4,18.4,0.6,72.2,65.4,22.7,34.4,531000.0,511000.0,0.22,0.18,22.83,12.8,37.17,29.12
OZON,1103000000.0,-48360000.0,179000000.0,3.98,0.0,0.0,14834.0,0.0,0.0,6.15,13.1,0.0,2.2,2.5,1.27,-23.8,-68.4,-16.8,-0.7,-21.8,-27.0,0.0,20392000.0,20061000.0,1.16,3.66,0.0,0.93,0.0,25.89
GLSI,58464000.0,-280000.0,0.0,2.26,0.0,0.0,1.0,0.0,0.0,0.0,19.82,19.62,45.7,45.7,0.0,-11.6,-12.1,0.0,0.0,0.0,0.0,0.0,1290000.0,315000.0,5.83,2.18,75.0,37.04,0.0,22.84
