IPO,MarketCap,Income,Sales,Booksh,Dividend,Dividend_Percentage,Employees,PriceToEarnings,ForwardPTE,PriceToSales,PriceToBook,PutCallRatio,QuickRatio,CurrentRatio,DebtEquity,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,PerformaceHalfYear,PerformanceYear,PerformanceYTD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[['mrm'], '31.40M', '-4.90M', '30.40M', '1.11', '-', '-', '171', '-', '-', '1.03', '5.95', '2.40', '0.80', '0.80', '1.84', '-', '-', '-38.90%', '12.80%', '-19.00%', '-16.10%', '-', '4.03M', '3.32M', '0.54%', '0.73', '-', '-31.43%', '-', '-54.10%']
[['vtaq'], '214.74M', '-', '-', '7.98', '-', '-', '-', '-', '-', '-', '1.25', '429.48', '3.50', '3.50', '0.00', '-', '-', '-', '-', '-', '-', '-', '21.56M', '17.27M', '0.02%', '0.16', '-', '-2.73%', '-', '-1.80%']
[['ikt'], '59.80M', '-7.20M', '3.00M', '3.84', '-', '-', '3', '-', '-', '19.93', '0.63', '1.28', '25.70', '25.70', '0.00', '-37.00%', '-47.90%', '-27.90%', '-', '-', '-', '-', '12.24M', '7.99M', '2.10%', '0.19', '-', '-61.49%', '-', '-64.78%']
[['hcar'], '399.11M', '-', '-', '7.14', '-', '-', '-', '-', '-', '-', '1.36', '665.18', '3.10', '3.10', '0.00', '-', '-', '-', '-', '-', '-', '-', '41.40M', '24.84M', '0.29%', '1.25', '-', '-2.02%', '-', '-3.20%']
[['gbs'], '41.46M', '-', '0.44M', '1.35', '-', '-', '7', '-', '-', '93.86', '2.49', '2.90', '10.60', '10.60', '0.00', '-', '-', '-', '-', '-', '-', '-', '11.80M', '6.57M', '5.02%', '0.27', '-', '-49.78%', '-', '-54.59%']
[['cfiv'], '616.68M', '-1.90M', '-', '7.53', '-', '-', '-', '-', '-', '-', '1.29', '6166.82', '0.60', '0.60', '0.00', '-0.50%', '-0.50%', '-', '-', '-', '-', '-', '63.50M', '51.00M', '0.32%', '3.85', '-', '-2.63%', '-', '-6.90%']
[['vhaq'], '250.59M', '-', '-', '7.58', '-', '-', '-', '-', '-', '-', '1.31', '227.81', '0.20', '0.20', '0.00', '-', '-', '-', '-', '-', '-', '-', '25.16M', '20.12M', '0.04%', '0.29', '-', '-1.19%', '-', '-2.35%']
[['vii'], '504.66M', '-', '-', '7.13', '-', '-', '-', '-', '-', '-', '1.36', '504.66', '1.30', '1.30', '0.00', '-', '-', '-', '-', '-', '-', '-', '28.75M', '23.00M', '0.20%', '7.54', '-', '-4.23%', '-', '-4.42%']
[['ackit'], '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '2.04', '-', '-1.96%', '-', '-2.06%']
