0,1,2,3,4,5,6
"a href=""/wiki/Aaron%27s,_Inc."" title=""Aaron's, Inc.""The Aaron's Company/a
",AAN,"Consumer Discretionary
","Homefurnishing Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=aan&amp;action=getcompany"" rel=""nofollow""view/a
","0001821393
",S&P600
"Applied Optoelectronics
",AAOI,"Information Technology
","Communications Equipment
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAOI&amp;action=getcompany"" rel=""nofollow""view/a
","0001158114
",S&P600
"a href=""/wiki/AAON"" title=""AAON""AAON, Inc./a
",AAON,"Industrials
","Building Products
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAON&amp;action=getcompany"" rel=""nofollow""view/a
","0000824142
",S&P600
"American Assets Trust
",AAT,"Real Estate
","Diversified REITs
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAT&amp;action=getcompany"" rel=""nofollow""view/a
","0001500217
",S&P600
"a href=""/wiki/Atlas_Air"" title=""Atlas Air"" Atlas Air Worldwide Holdings/a
",AAWW,"Industrials
","Air Freight &amp; Logistics
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAWW&amp;action=getcompany"" rel=""nofollow""view/a
","0001135185
",S&P600
"a href=""/wiki/Ameris_Bancorp"" title=""Ameris Bancorp""Ameris Bancorp/a
",ABCB,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABCB&amp;action=getcompany"" rel=""nofollow""view/a
","0000351569
",S&P600
"a href=""/wiki/Asbury_Automotive_Group"" title=""Asbury Automotive Group""Asbury Automotive Group/a
",ABG,"Consumer Discretionary
","Automotive Retail
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABG&amp;action=getcompany"" rel=""nofollow""view/a
","0001144980
",S&P600
"a href=""/wiki/ABM_Industries"" title=""ABM Industries"" ABM Industries, Inc./a
",ABM,"Industrials
","Environmental &amp; Facilities Services
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABM&amp;action=getcompany"" rel=""nofollow""view/a
","0000771497
",S&P600
"Allegiance Bancshares, Inc.
",ABTX,"Financials
","Regional Banks
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABTX&amp;action=getcompany"" rel=""nofollow""view/a
","0001642081
",S&P600
"Arcosa, Inc.
",ACA,"Industrials
","Industrial Machinery
","a class=""external text"" href=""https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACA&amp;action=getcompany"" rel=""nofollow""view/a
","0001739445
",S&P600
