Ticker,Index,MarketCap,Income,Sales,Booksh,Cashsh,Dividend,Dividend_Percentage,Employees,Recom,PriceToEarnings,ForwardPTE,PEG,PriceToSales,PriceToBook,PutCallRatio,PFCF,QuickRatio,CurrentRatio,DebtEquity,LdDebtEquity,SMA20,SMA50,SMA200,ROA,ROE,ROI,GrossMargin,OperationalMargin,ProfitMargin,Payout,SHSOutstanding,ShsFloat,ShoartFloat,ShortRatio,TargetPrice,52WH,52WL,AVGVol,Vol,PerformaceHalfYear,PerformanceYear,PerformanceYTD,,
[['AAN'], '-', '862.57M', '-', '1.82B', '21.69', '1.50', '0.40', '1.49%', '9400', '2.70', '8.83', '9.06', '-', '0.47', '1.24', '17.97', '-', '-', '-', '0.00', '0.00', '-2.12%', '-5.59%', '0.26%', '-', '-', '-36.30%', '-', '-', '-', '-', '33.81M', '31.97M', '1.87%', '1.83', '36.43', '-29.85%', '62.35%', '327.04K', '9,357', '4.14%', '-', '42.04%'],
[['AAOI'], '-', '202.46M', '-46.90M', '232.80M', '10.33', '1.62', '-', '-', '2682', '2.70', '-', '-', '-', '0.87', '0.72', '4.60', '-', '1.20', '2.30', '0.53', '0.35', '-1.34%', '-1.51%', '-15.28%', '-9.70%', '-17.10%', '-13.20%', '22.30%', '-20.50%', '-20.10%', '-', '26.85M', '25.78M', '17.46%', '8.44', '-', '-48.06%', '13.38%', '533.65K', '22,035', '-12.03%', '-28.48%', '-12.34%'],
[['AAON'], '-', '3.41B', '76.30M', '511.10M', '7.32', '2.16', '0.38', '0.58%', '2268', '3.00', '46.22', '41.25', '3.85', '6.67', '9.02', '30.59', '65.91', '2.20', '3.30', '0.02', '0.02', '-2.27%', '0.44%', '-3.61%', '16.30%', '21.00%', '22.10%', '29.40%', '18.70%', '14.90%', '26.00%', '52.43M', '41.51M', '3.67%', '9.90', '62.00', '-19.53%', '19.21%', '153.92K', '8,180', '-8.76%', '14.17%', '-0.95%'],
[['AAT'], '-', '2.35B', '18.10M', '341.50M', '20.86', '5.95', '1.12', '2.95%', '199', '2.60', '125.86', '40.65', '41.95', '6.89', '1.82', '6.39', '-', '-', '-', '1.32', '1.32', '-3.86%', '-1.12%', '10.04%', '0.60%', '1.40%', '3.30%', '64.30%', '23.10%', '5.30%', '350.30%', '59.99M', '59.66M', '2.11%', '4.60', '39.80', '-7.53%', '81.19%', '273.56K', '22,399', '12.62%', '46.08%', '31.61%'],
[['AAWW'], '-', '2.28B', '455.10M', '3.59B', '86.07', '-', '-', '-', '4061', '2.00', '4.75', '6.46', '0.47', '0.63', '0.88', '-', '3.28', '0.90', '0.90', '0.96', '0.71', '-1.43%', '2.93%', '13.83%', '7.60%', '19.90%', '7.80%', '56.90%', '16.10%', '12.70%', '0.00%', '29.01M', '27.12M', '13.63%', '9.39', '93.71', '-7.67%', '46.00%', '393.74K', '78,078', '27.73%', '23.76%', '38.67%'],
[['ABCB'], '-', '3.31B', '423.70M', '710.40M', '40.82', '48.14', '0.60', '1.25%', '2671', '1.90', '7.87', '11.25', '0.98', '4.66', '1.17', '0.99', '4.98', '-', '-', '0.18', '0.18', '-5.57%', '-6.17%', '-6.77%', '2.00%', '15.70%', '13.80%', '-', '91.50%', '59.60%', '9.80%', '69.50M', '65.94M', '2.60%', '4.12', '56.50', '-24.19%', '117.55%', '416.43K', '30,655', '-14.56%', '102.41%', '25.64%'],
[['ABG'], '-', '3.48B', '430.20M', '8.86B', '59.50', '5.34', '-', '-', '7600', '2.30', '8.18', '8.65', '0.44', '0.39', '3.06', '34.06', '5.13', '0.80', '1.50', '1.41', '1.16', '-1.07%', '-5.07%', '0.51%', '12.00%', '44.50%', '11.20%', '17.90%', '7.20%', '4.90%', '0.00%', '19.30M', '19.16M', '7.46%', '8.09', '230.86', '-17.32%', '95.94%', '176.78K', '15,036', '-3.51%', '79.97%', '24.83%'],
[['ABM'], '-', '3.09B', '145.10M', '6.02B', '23.41', '7.38', '0.76', '1.69%', '114000', '2.00', '21.12', '13.00', '1.32', '0.51', '1.93', '6.11', '8.24', '1.40', '1.40', '0.41', '0.39', '-6.14%', '-4.39%', '-2.88%', '3.80%', '9.30%', '1.90%', '16.30%', '3.70%', '2.40%', '34.70%', '67.50M', '66.43M', '2.16%', '2.86', '62.00', '-19.29%', '33.63%', '500.76K', '34,152', '-10.54%', '17.30%', '19.13%'],
[['ABTX'], '-', '713.90M', '73.00M', '249.50M', '39.06', '36.90', '0.48', '1.31%', '608', '3.00', '10.24', '12.35', '-', '2.86', '0.94', '0.99', '10.70', '-', '-', '0.31', '0.31', '-2.80%', '-2.98%', '-6.70%', '1.20%', '9.50%', '18.80%', '-', '87.80%', '29.30%', '12.20%', '20.20M', '18.87M', '1.29%', '4.33', '41.75', '-18.27%', '65.17%', '56.39K', '1,681', '-14.40%', '49.55%', '7.27%'],
[['ACA'], '-', '2.41B', '78.10M', '1.90B', '39.93', '2.09', '0.20', '0.40%', '6410', '1.70', '31.27', '20.63', '7.63', '1.26', '1.26', '24.02', '23.87', '1.30', '2.20', '0.34', '0.34', '-1.83%', '-4.34%', '-15.12%', '2.80%', '4.10%', '5.60%', '18.90%', '5.90%', '4.10%', '12.30%', '48.10M', '47.95M', '3.41%', '6.30', '66.00', '-27.78%', '18.48%', '259.74K', '22,316', '-17.68%', '9.81%', '-8.52%'],
[['ACLS'], '-', '1.66B', '60.80M', '512.70M', '14.67', '6.47', '-', '-', '1004', '1.80', '27.62', '16.15', '1.38', '3.24', '3.33', '7.56', '31.86', '3.00', '4.80', '0.10', '0.09', '-2.19%', '10.29%', '21.35%', '9.70%', '12.60%', '9.80%', '43.20%', '14.10%', '11.90%', '0.00%', '33.68M', '32.93M', '3.26%', '4.60', '57.17', '-9.91%', '123.65%', '233.36K', '31,946', '27.06%', '119.19%', '67.86%'],
